customer_id,risk_score,risk_tier,decision,top_risk_factors,age,country_risk,occupation,annual_income,account_type,document_status,address_verified,pep_flag,sanctions_flag,adverse_media_flag,customer_tenure_years,digital_risk_score,fraud_history_flag,monthly_txn_count
C5060,38.56,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",65,High,Student,1102407,Savings,Partial,1,0,0,0,13,91,1,42
C5061,37.01,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Short customer tenure, Fraud history present",23,High,Student,3385264,Savings,Partial,1,0,0,0,15,99,1,91
C5062,14.7,LOW,APPROVE,No significant risk flags identified,62,Medium,Salaried,2892735,NRI,Partial,1,0,0,0,14,70,0,2
C5063,14.1,LOW,APPROVE,No significant risk flags identified,63,Low,Self Employed,1880459,Savings,Complete,1,0,0,1,10,65,0,141
C5064,16.29,LOW,APPROVE,No significant risk flags identified,65,Medium,Student,2854775,Current,Complete,0,0,0,0,5,91,0,359
C5065,5.44,LOW,APPROVE,No significant risk flags identified,59,Low,Business,2135795,Savings,Complete,1,0,0,0,1,83,0,373
C5066,31.38,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",25,Low,Cash Business,3755750,Corporate,Complete,1,0,0,1,6,3,1,291
C5067,18.88,LOW,APPROVE,No significant risk flags identified,48,Medium,Business,1134627,Corporate,Missing,1,0,0,0,9,88,0,473
C5068,3.43,LOW,APPROVE,No significant risk flags identified,71,Low,Self Employed,4589927,Savings,Complete,1,0,0,0,4,21,0,304
C5069,25.73,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",69,Medium,Self Employed,3570556,Savings,Complete,1,0,0,0,8,0,1,311
C5070,25.79,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",47,Medium,Student,1340845,Current,Complete,1,0,0,0,6,28,1,310
C5071,28.74,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",35,Low,Student,533379,NRI,Complete,0,0,0,0,7,31,1,177
C5072,24.67,LOW,APPROVE,No significant risk flags identified,25,Low,Cash Business,859495,Savings,Complete,1,0,0,0,0,9,1,368
C5073,8.8,LOW,APPROVE,No significant risk flags identified,46,Medium,Business,2230137,Current,Complete,1,0,0,0,12,84,0,222
C5074,27.52,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",59,Medium,Salaried,1381060,Current,Complete,1,0,0,0,13,65,1,61
C5075,10.64,LOW,APPROVE,No significant risk flags identified,45,Low,Cash Business,2415762,Savings,Complete,0,0,0,0,13,54,0,367
C5076,12.66,LOW,APPROVE,No significant risk flags identified,37,Low,Cash Business,316379,Savings,Partial,1,0,0,0,11,61,0,494
C5077,16.42,LOW,APPROVE,No significant risk flags identified,54,Low,Salaried,259071,NRI,Complete,1,1,0,0,15,7,0,347
C5078,25.52,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",25,Low,Self Employed,601938,Corporate,Complete,0,1,0,0,11,93,0,443
C5079,8.1,LOW,APPROVE,No significant risk flags identified,29,High,Self Employed,2483430,Savings,Complete,1,0,0,0,7,14,0,245
C5080,30.15,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",63,High,Student,4381128,Current,Complete,1,0,0,0,11,17,1,210
C5081,33.86,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",75,High,Business,4442063,Savings,Complete,1,0,0,0,6,77,1,401
C5082,29.55,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",69,Medium,Cash Business,2449838,Savings,Complete,1,0,0,0,5,29,1,283
C5083,11.66,LOW,APPROVE,No significant risk flags identified,61,High,Business,222351,Current,Complete,1,0,0,0,4,21,0,118
C5084,6.57,LOW,APPROVE,No significant risk flags identified,40,Low,Salaried,2031580,Savings,Complete,0,0,0,0,15,26,0,9
C5085,16.05,LOW,APPROVE,No significant risk flags identified,40,Low,Business,755017,Corporate,Missing,1,0,0,0,2,99,0,316
C5086,37.48,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",20,High,Cash Business,2825743,Corporate,Complete,1,0,0,0,0,68,1,426
C5087,5.05,LOW,APPROVE,No significant risk flags identified,28,Low,Student,4470136,Current,Partial,1,0,0,0,13,14,0,348
C5088,23.38,LOW,APPROVE,No significant risk flags identified,70,High,Business,1383709,Current,Partial,1,0,0,1,5,32,0,240
C5089,43.54,HIGH,EDD,"Overall weighted risk score elevated, Address not verified, Fraud history present",65,High,Self Employed,1839257,Savings,Missing,0,0,0,0,0,1,1,335
C5090,36.47,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",47,High,Student,1362794,Savings,Complete,0,0,0,0,1,62,1,386
C5091,12.76,LOW,APPROVE,No significant risk flags identified,33,High,Business,2863434,Savings,Complete,1,0,0,0,12,91,0,324
C5092,25.61,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",26,Medium,Student,3678166,Savings,Missing,1,0,0,1,7,96,0,494
C5093,17.33,LOW,APPROVE,No significant risk flags identified,42,Low,Salaried,1220533,NRI,Complete,1,1,0,0,4,61,0,309
C5094,14.69,LOW,APPROVE,No significant risk flags identified,47,High,Self Employed,3726990,NRI,Complete,0,0,0,0,5,24,0,353
C5095,5.56,LOW,APPROVE,No significant risk flags identified,31,Low,Salaried,4387704,Corporate,Partial,1,0,0,0,5,7,0,232
C5096,45.31,HIGH,EDD,"Overall weighted risk score elevated, Address not verified, Unusual income level",48,High,Salaried,4981117,Savings,Missing,0,0,0,0,14,85,1,393
C5097,35.1,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Short customer tenure, Fraud history present",18,High,Salaried,4345778,Savings,Complete,1,0,0,0,15,98,1,366
C5098,33.42,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",63,Low,Salaried,3779117,Current,Complete,1,0,0,1,13,54,1,255
C5099,27.01,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",54,Medium,Cash Business,2790593,Corporate,Complete,1,0,0,0,3,8,1,29
C5100,23.23,LOW,APPROVE,No significant risk flags identified,18,High,Self Employed,3555862,Savings,Partial,0,0,0,0,2,84,0,253
C5101,37.93,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",25,Medium,Self Employed,4322427,Savings,Complete,1,1,0,0,1,39,1,140
C5102,27.93,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",50,Medium,Salaried,4355760,NRI,Complete,1,0,0,0,12,54,1,314
C5103,30.36,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",19,Low,Business,3461169,Corporate,Partial,1,0,0,0,11,52,1,315
C5104,17.14,LOW,APPROVE,No significant risk flags identified,50,High,Cash Business,3332111,Savings,Partial,1,0,0,0,7,65,0,304
C5105,40.13,HIGH,EDD,"Overall weighted risk score elevated, Fraud history present, Address not verified",20,High,Salaried,2508794,Savings,Complete,0,0,0,0,13,98,1,234
C5106,5.85,LOW,APPROVE,No significant risk flags identified,50,Medium,Business,593128,NRI,Complete,1,0,0,0,10,21,0,20
C5107,29.57,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",38,High,Business,869064,NRI,Complete,1,0,0,0,2,4,1,438
C5108,29.46,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",70,Medium,Salaried,4327384,Corporate,Complete,1,0,0,0,2,49,1,39
C5109,23.35,LOW,APPROVE,No significant risk flags identified,47,Low,Student,1824261,Savings,Complete,1,0,0,0,13,49,1,282
C5110,8.19,LOW,APPROVE,No significant risk flags identified,52,High,Self Employed,3177221,Savings,Complete,1,0,0,0,7,14,0,415
C5111,13.49,LOW,APPROVE,No significant risk flags identified,30,Medium,Self Employed,1886990,Savings,Partial,1,0,0,0,6,97,0,123
C5112,5.67,LOW,APPROVE,No significant risk flags identified,59,Low,Self Employed,2161295,Current,Complete,1,0,0,0,15,88,0,320
C5113,31.1,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",74,Medium,Salaried,504999,Savings,Complete,0,0,0,0,5,7,1,34
C5114,29.88,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Short customer tenure, Fraud history present",25,Medium,Student,4316880,Corporate,Partial,1,0,0,0,15,21,1,199
C5115,27.16,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",70,Low,Salaried,1413815,Current,Complete,1,0,0,0,9,79,1,223
C5116,13.24,LOW,APPROVE,No significant risk flags identified,66,High,Business,1492818,Current,Complete,1,0,0,0,14,56,0,495
C5117,19.68,LOW,APPROVE,No significant risk flags identified,37,Medium,Business,2275061,Corporate,Complete,0,0,0,1,14,31,0,277
C5118,12.17,LOW,APPROVE,No significant risk flags identified,41,High,Business,3134748,Savings,Complete,0,0,0,0,14,2,0,62
C5119,15.78,LOW,APPROVE,No significant risk flags identified,30,High,Salaried,4039040,Savings,Partial,1,0,0,0,5,76,0,339
C5120,11.96,LOW,APPROVE,No significant risk flags identified,34,High,Cash Business,4015759,Savings,Complete,1,0,0,0,15,46,0,309
C5121,9.35,LOW,APPROVE,No significant risk flags identified,30,Medium,Self Employed,3653716,Savings,Complete,0,0,0,0,7,11,0,258
C5122,33.95,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",23,Low,Self Employed,1580194,Corporate,Partial,0,0,0,0,10,55,1,386
C5123,10.88,LOW,APPROVE,No significant risk flags identified,68,Medium,Student,2302380,Savings,Complete,1,0,0,0,8,81,0,451
C5124,10.49,LOW,APPROVE,No significant risk flags identified,55,High,Salaried,448578,Current,Complete,1,0,0,0,12,49,0,93
C5125,38.55,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",57,High,Business,1260991,Savings,Missing,1,0,0,0,2,56,1,91
C5126,31.3,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Short customer tenure, Fraud history present",67,Medium,Salaried,3422036,Savings,Complete,1,0,0,0,15,91,1,443
C5127,33.61,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",69,Low,Self Employed,366952,Corporate,Partial,1,0,0,0,2,81,1,243
C5128,9.73,LOW,APPROVE,No significant risk flags identified,69,Low,Self Employed,3674386,NRI,Complete,0,0,0,0,9,26,0,239
C5129,24.46,LOW,APPROVE,No significant risk flags identified,50,Medium,Self Employed,3122762,Savings,Complete,1,0,0,0,2,14,1,145
C5130,40.86,HIGH,EDD,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",65,Low,Cash Business,1903581,Savings,Partial,1,1,0,0,5,4,1,444
C5131,26.91,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",41,Medium,Self Employed,1111297,Savings,Complete,1,0,0,0,3,52,1,120
C5132,6.34,LOW,APPROVE,No significant risk flags identified,34,Low,Business,3794550,Savings,Complete,0,0,0,0,5,22,0,32
C5133,6.0,LOW,APPROVE,No significant risk flags identified,57,Low,Business,2161397,Savings,Complete,1,0,0,0,5,95,0,243
C5134,6.45,LOW,APPROVE,No significant risk flags identified,61,Low,Cash Business,4489987,Savings,Complete,1,0,0,0,9,36,0,493
C5135,22.09,LOW,APPROVE,No significant risk flags identified,35,Low,Salaried,3484873,Savings,Complete,1,0,0,0,11,34,1,60
C5136,23.41,LOW,APPROVE,No significant risk flags identified,42,Low,Salaried,4289718,Savings,Complete,1,0,0,0,5,53,1,378
C5137,32.48,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Unusual income level, Fraud history present",62,Low,Student,4913673,Savings,Partial,0,0,0,0,7,24,1,67
C5138,10.52,LOW,APPROVE,No significant risk flags identified,31,High,Salaried,1570912,Savings,Complete,1,0,0,0,7,51,0,276
C5139,7.49,LOW,APPROVE,No significant risk flags identified,20,Low,Business,2494389,Savings,Complete,1,0,0,0,13,91,0,28
C5140,39.81,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, High transaction volume",75,Low,Self Employed,3612083,Current,Complete,1,1,0,0,8,96,1,70
C5141,11.19,LOW,APPROVE,No significant risk flags identified,65,Low,Salaried,4765144,Current,Missing,1,0,0,0,1,16,0,422
C5142,35.18,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",62,High,Student,3347022,Savings,Complete,1,0,0,0,2,98,1,379
C5143,11.33,LOW,APPROVE,No significant risk flags identified,19,High,Student,2219658,Savings,Complete,1,0,0,0,9,38,0,46
C5144,85.0,HIGH,REJECT,"Overall weighted risk score elevated, Multiple compliance flags triggered, High transaction volume",50,Low,Salaried,3756375,Current,Complete,1,0,1,0,13,73,1,82
C5145,6.32,LOW,APPROVE,No significant risk flags identified,34,Low,Business,3422395,Corporate,Partial,1,0,0,0,10,16,0,463
C5146,2.98,LOW,APPROVE,No significant risk flags identified,43,Low,Student,1929482,Savings,Complete,1,0,0,0,14,40,0,421
C5147,27.76,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",25,Medium,Business,1338510,Current,Complete,1,0,0,0,4,56,1,454
C5148,29.92,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",61,Low,Self Employed,1333868,Savings,Partial,1,0,0,0,2,58,1,220
C5149,18.02,LOW,APPROVE,No significant risk flags identified,47,Low,Cash Business,4207714,Current,Complete,0,0,0,1,0,32,0,162
C5150,8.73,LOW,APPROVE,No significant risk flags identified,51,Low,Salaried,4991936,Savings,Complete,0,0,0,0,6,62,0,12
C5151,39.56,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",68,Medium,Student,2325507,NRI,Complete,1,1,0,0,1,12,1,300
C5152,1.14,LOW,APPROVE,No significant risk flags identified,32,Low,Salaried,354202,Savings,Complete,1,0,0,0,12,9,0,80
C5153,11.68,LOW,APPROVE,No significant risk flags identified,46,Low,Business,4488786,Corporate,Complete,0,0,0,0,5,94,0,63
C5154,18.43,LOW,APPROVE,No significant risk flags identified,24,High,Student,4450470,NRI,Complete,1,0,0,1,2,36,0,461
C5155,12.86,LOW,APPROVE,No significant risk flags identified,52,Low,Student,1252782,Savings,Complete,1,1,0,0,2,1,0,378
C5156,26.46,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",36,Low,Salaried,1555651,Savings,Complete,1,0,0,0,11,100,1,268
C5157,11.65,LOW,APPROVE,No significant risk flags identified,19,Medium,Student,2246942,Current,Partial,1,0,0,0,3,33,0,141
C5158,31.7,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",52,Medium,Student,881015,Savings,Missing,1,0,0,0,7,0,1,66
C5159,9.86,LOW,APPROVE,No significant risk flags identified,54,High,Cash Business,1426324,Current,Complete,1,0,0,0,2,11,0,110
C5160,5.33,LOW,APPROVE,No significant risk flags identified,37,Medium,Self Employed,1393613,Corporate,Complete,1,0,0,0,13,13,0,24
C5161,34.88,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",72,Medium,Business,2408289,Savings,Partial,1,0,0,0,6,88,1,91
C5162,2.15,LOW,APPROVE,No significant risk flags identified,52,Low,Business,2950227,Corporate,Complete,1,0,0,0,4,14,0,343
C5163,32.12,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",57,High,Business,1705984,Savings,Complete,0,0,0,0,1,0,1,78
C5164,12.27,LOW,APPROVE,No significant risk flags identified,20,Medium,Cash Business,4088110,Savings,Complete,1,0,0,0,5,77,0,227
C5165,5.86,LOW,APPROVE,No significant risk flags identified,24,Low,Student,1834253,Savings,Partial,1,0,0,0,5,30,0,40
C5166,31.84,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Short customer tenure, Fraud history present",48,Medium,Cash Business,2914114,NRI,Complete,1,0,0,0,15,88,1,63
C5167,32.63,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",65,Low,Salaried,206351,Current,Complete,1,0,0,1,11,34,1,46
C5168,31.72,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",61,Medium,Student,2596330,Current,Complete,1,0,0,0,0,85,1,114
C5169,29.35,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",55,Low,Self Employed,2958793,Savings,Complete,0,0,0,0,12,68,1,303
C5170,14.06,LOW,APPROVE,No significant risk flags identified,72,High,Business,691846,Corporate,Complete,1,0,0,0,14,50,0,278
C5171,4.93,LOW,APPROVE,No significant risk flags identified,27,Low,Salaried,1453271,Current,Partial,1,0,0,0,5,12,0,117
C5172,26.99,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",45,Low,Salaried,3297803,Corporate,Complete,1,0,0,0,8,97,1,217
